,Business-as-Usual,Economic Emphasis,"Combined Econ, Educ, FP",
2013,13022905833.00,13022905833.00,13022905833.00,
2014,13815259965.21,13926393796.32,14004876650.97,
2015,15020768640.58,15342637952.77,15559979937.46,
2016,16568572498.05,17204394152.11,17619588635.56,
2017,18458530949.59,19542210982.19,20222420695.07,
2018,20734275754.30,22451660122.44,23485478310.57,
2019,23474460188.68,26087626193.22,27471326744.92,
2020,26326124743.09,29038819732.84,30291728504.75,
2021,28368323823.23,32028262368.96,33624790868.37,
2022,30693819198.04,35567040043.15,37586481701.77,
2023,33352830354.44,39773688667.89,42317848064.20,
2024,36403112330.07,44789267889.76,47988675291.84,
2025,39909299839.36,50778331183.67,54799742830.79,
2026,43942205566.34,57929213374.72,62986820406.74,
2027,48579378735.67,66455168494.08,72818615235.36,
2028,53900813903.51,76587935091.66,84575961881.94,
2029,59938392893.68,88500533787.85,98471768442.55,
2030,66792820153.63,102466923134.59,114863661052.11,
2031,74527127385.39,118710022890.60,134042905200.98,
2032,83189843101.00,137423210757.06,156261615543.62,
2033,92803542035.89,158742104981.96,181716662479.66,
2034,103372135334.84,182746446112.25,210526685582.81,
2035,114874430910.15,209442316785.89,242723869595.77,
2036,127266738838.75,238761612137.20,278250115410.09,
2037,140490227170.14,270574539637.66,316950559980.07,
2038,154474324343.52,304699087340.35,358593199968.01,
2039,169144662050.47,340922014910.14,402891196008.95,
2040,184426622766.57,379013406399.28,449521394212.91,
2041,200262188058.32,418768933876.52,498136819906.14,
2042,216591773697.05,459980001795.82,548378852947.64,
2043,233349885313.00,502428698680.69,599929365614.04,
2044,250500723238.13,545965699016.72,652496175719.89,
2045,268008522012.79,590450950309.45,705814034887.20,
2046,285854734248.00,635792396367.63,759665341942.70,
2047,304031381665.25,681931704486.80,813868461773.45,
2048,322543071086.36,728848704163.69,868267155833.78,
2049,341361697645.60,776457556096.64,922736046950.03,
2050,360490239334.35,824748526940.98,977150960673.86,
