Year,Business-as-Usual,Economic Emphasis,"Combined Econ, Educ, FP"
2013,134.93,134.93,134.93
2014,138.8611228,139.8865002,140.809858
2015,146.1244631,148.973791,151.3460581
2016,155.875498,161.2989859,165.5800858
2017,167.8160983,176.7300829,183.5165051
2018,182.0790123,195.7026278,205.7498941
2019,199.0073539,218.9919283,232.3753796
2020,215.7996274,236.1465647,249.4856034
2021,226.0210172,252.6996275,269.6415309
2022,237.6105466,272.1208352,293.4403075
2023,250.7627823,294.9196684,321.5781728
2024,265.6882546,321.6706663,354.8661091
2025,282.597325,352.9936272,394.2233483
2026,301.715836,389.5681124,440.678452
2027,323.2631724,432.0983534,495.3706179
2028,347.382294,481.2025581,559.6799711
2029,373.7157551,536.7685961,633.5706518
2030,402.8348518,599.9227401,718.9214742
2031,434.8039245,671.0581081,816.6884762
2032,469.604304,750.3597078,927.538873
2033,507.0408919,837.6198899,1051.855596
2034,546.8753384,932.4167657,1189.613865
2035,588.7586429,1033.996991,1340.442316
2036,632.2771939,1141.352232,1503.584254
2037,676.9889019,1253.301592,1678.038985
2038,722.4507805,1368.574153,1862.523619
2039,768.2732016,1485.950359,2055.662711
2040,814.0825933,1604.231416,2256.195
2041,859.504527,1722.23192,2462.913736
2042,904.4661214,1839.411516,2674.213079
2043,948.6192376,1954.738539,2889.38885
2044,991.7345511,2067.468263,3107.621624
2045,1033.851239,2177.473738,3328.299223
2046,1074.908809,2284.484666,3551.118054
2047,1114.965935,2388.533538,3776.005854
2048,1154.035694,2489.600068,4002.96976
2049,1192.204514,2587.854802,4232.143565
2050,1229.486033,2683.335111,4463.690947
