"Mali"
"Life expectancy at birth (years)","58.5"
"Adult mortality rate, female (per 1,000 people)","263"
"Adult mortality rate, male (per 1,000 people)","258"
"Deaths due to malaria (per 100,000 people)","92.1"
"Deaths due to tuberculosis (per 100,000 people)","11.0"
"HIV prevalence, adult (% ages 15-49), total","1.3"
"Infant mortality rate (per 1,000 live births)","74.5"
"Infants lacking immunization, DTP (% of one-year-olds)","20"
"Infants lacking immunization, measles (% of one-year-olds)","20"
"Public health expenditure (% of GDP)","1.6"
"Stunting (moderate or severe) (% under age 5)","38.5"
"Under-five mortality rate (per 1,000 live births)","114.7"
"Expected years of schooling (years)","8.4"
"Adult literacy rate (% ages 15 and older)","38.7"
"Government expenditure on education (% of GDP)","4.3"
"Gross enrolment ratio: pre-primary (% of preschool-age children)","4"
"Gross enrolment ratio, primary (% of primary school-age population)","77"
"Gross enrolment ratio, secondary (% of secondary school-age population)","44"
"Gross enrolment ratio, tertiary (% of tertiary school-age population)","7"
"Mean years of schooling (years)","2.3"
"Population with at least some secondary education (% aged 25 and older)","11.5"
"Primary school dropout rate (% of primary school cohort)","38.4"
"Primary school teachers trained to teach (%)","52"
"Pupil-teacher ratio, primary school (number of pupils per teacher)","42"
"Gross national income (GNI) per capita (2011 PPP$)","2,218"
"Adjusted net savings (% of GNI)","n.a."
"Domestic credit provided by financial sector (% of GDP)","21.9"
"Domestic food price level index","7.7"
"Domestic food price level volatility index","9.4"
"Gross domestic product (GDP) per capita (2011 PPP $)","2,285"
"Gross domestic product (GDP), total (2011 PPP $ billions)","40.2"
"Gross fixed capital formation (% of GDP)","16.7"
"Inequality-adjusted HDI (IHDI)","0.293"
"Coefficient of human inequality","32.7"
"Income inequality, Gini coefficient","33.0"
"Income inequality, Palma ratio","1.3"
"Income inequality, quintile ratio","5.2"
"Inequality in education (%)","41.6"
"Inequality in income (%)","16.1"
"Inequality in life expectancy (%)","40.4"
"Inequality-adjusted education index","0.182"
"Inequality-adjusted income index","0.393"
"Inequality-adjusted life expectancy index","0.353"
"Overall loss in HDI due to inequality (%)","33.7"
"Gender Development Index (GDI)","0.786"
"Adolescent birth rate (births per 1,000 women ages 15-19)","174.6"
"Estimated gross national income per capita, female (2011 PPP$)","1,349"
"Estimated gross national income per capita, male (2011 PPP$)","3,071"
"Expected years of schooling, female (years)","7.5"
"Expected years of schooling, male (years)","9.4"
"Gender Inequality Index (GII)","0.689"
"Human Development Index (HDI), female","0.385"
"Human Development Index (HDI), male","0.491"
"Labour force participation rate, female (% ages 15 and older)","50.1"
"Labour force participation rate, male (% ages 15 and older)","82.3"
"Legislators, senior officials and managers, female (% of total)","n.a."
"Life expectancy at birth, female (years)","58.3"
"Life expectancy at birth, male (years)","58.6"
"Maternal mortality ratio (deaths per 100,000 live births)","587"
"Mean years of schooling, female (years)","1.7"
"Mean years of schooling, male (years)","3.0"
"Population with at least some secondary education, female (% ages 25 and older)","7.3"
"Population with at least some secondary education, male (% ages 25 and older)","16.2"
"Share of seats in parliament (% held by women)","8.8"
"Unemployment rate (total), female to male ratio","1.9"
"Youth unemployment rate, female to male ratio","1.4"
"Multidimensional Poverty Index (MPI), HDRO specifications","0.456"
"Population in multidimensional poverty, headcount (%)","78.4"
"Population in multidimensional poverty, headcount (thousands)","13,009"
"Population in multidimensional poverty, intensity of deprivation (%)","58.2"
"Population in severe multidimensional poverty (%)","55.9"
"Population living below income poverty line, PPP $1.90 a day (%)","49.3"
"Population near multidimensional poverty (%)","10.8"
"Working poor at PPP$3.10 a day (% of total employment)","80.0"
"Employment to population ratio (% ages 15 and older)","60.6"
"Child labour (% ages 5-14)","21.0"
"Employment in agriculture (% of total employment)","n.a."
"Employment in services (% of total employment)","n.a."
"Labour force participation rate (% ages 15 and older)","66.2"
"Mandatory paid maternity leave (days)","98.0"
"Old age pension recipients (% of statutory pension age population)","5.7"
"Total unemployment rate (% of labour force)","8.5"
"Vulnerable employment (% of total employment)","82.9"
"Youth not in school or employment (% ages 15-24)","13.5"
"Youth unemployment rate (% ages 15-24)","10.7"
"Homicide rate (per 100,000 people)","10.2"
"Birth registration (% under age five)","81"
"Homeless people due to natural disaster (average annual per million people)","308"
"Prison population (per 100,000 people)","33"
"Refugees by country of origin (thousands)","154.2"
"Suicide rate, female (per 100,000 people)","2.7"
"Suicide rate, male (per 100,000 people)","7.2"
"Violence against women ever experienced, intimate partner (%)","34.6"
"Violence against women ever experienced, nonintimate partner (%)","n.a."
"Exports and imports (% of GDP)","50.7"
"Concentration index (exports)","0.523"
"External debt stock (% of GNI)","29.5"
"Foreign direct investment, net inflows (% of GDP)","1.2"
"Net official development assistance received (% of GNI)","8.8"
"Private capital flows (% of GDP)","-1.5"
"Remittances, inflows (% of GDP)","6.83"
"Internet users (% of population)","10.3"
"International inbound tourists (thousands)","168"
"International student mobility (% of total tertiary enrolment)","-5.3"
"Mobile phone subscriptions (per 100 people)","139.6"
"Net migration rate (per 1,000 people)","-3.7"
"Carbon dioxide emissions per capita (tonnes)","0.1"
"Electrification rate, rural (% of rural population)","n.a."
"Forest area (% of total land area)","3.9"
"Forest area (total change %, 1990-2015)","-29.5"
"Fresh water withdrawals (% of total renewable water resources)","4.3"
"Natural resource depletion (% of GNI)","10.6"
"Renewable energy consumption (% of total final energy consumption)","83.9"
"Population, total (millions)","17.6"
"Dependency ratio, young age (0-14) (per 100 people ages 15-64)","95.1"
"Median age (years)","16.2"
"Dependency ratio, old age (65 and older) (per 100 people ages 15-64)","5.0"
"Population, ages 15–64 (millions)","8.8"
"Population, ages 65 and older (millions)","0.4"
"Population, under age 5 (millions)","3.3"
"Population, urban (%)","39.9"
"Sex ratio at birth (male to female births)","1.05"
