age.group,gender,scenario,population
 0-4,Male,Baseline,1602726
 5-9,Male,Baseline,1368723
 10-14 ,Male,Baseline,1134244
 15-19 ,Male,Baseline,924735
 20-24 ,Male,Baseline,760249
 25-29 ,Male,Baseline,639389
 30-34 ,Male,Baseline,528498
 35-39 ,Male,Baseline,422126
 40-44 ,Male,Baseline,316819
 45-49 ,Male,Baseline,244761
 50-54 ,Male,Baseline,171345
 55-59 ,Male,Baseline,139827
 60-64 ,Male,Baseline,109008
 65-69 ,Male,Baseline,79228
 70-74 ,Male,Baseline,58824
 75-79 ,Male,Baseline,33216
 80+ ,Male,Baseline,21404
 0-4,Female,Baseline,1507340
 5-9,Female,Baseline,1273549
 10-14 ,Female,Baseline,1054359
 15-19 ,Female,Baseline,860637
 20-24 ,Female,Baseline,711488
 25-29 ,Female,Baseline,604949
 30-34 ,Female,Baseline,514010
 35-39 ,Female,Baseline,420741
 40-44 ,Female,Baseline,326010
 45-49 ,Female,Baseline,263688
 50-54 ,Female,Baseline,199089
 55-59 ,Female,Baseline,169659
 60-64 ,Female,Baseline,139017
 65-69 ,Female,Baseline,107543
 70-74 ,Female,Baseline,80978
 75-79 ,Female,Baseline,46132
 80+ ,Female,Baseline,29277
 0-4,Male,2050 BAU,3295044
 5-9,Male,2050 BAU,3020683
 10-14 ,Male,2050 BAU,2759026
 15-19 ,Male,2050 BAU,2493573
 20-24 ,Male,2050 BAU,2205671
 25-29 ,Male,2050 BAU,1899516
 30-34 ,Male,2050 BAU,1630123
 35-39 ,Male,2050 BAU,1451288
 40-44 ,Male,2050 BAU,1275677
 45-49 ,Male,2050 BAU,1041976
 50-54 ,Male,2050 BAU,805987
 55-59 ,Male,2050 BAU,627150
 60-64 ,Male,2050 BAU,487180
 65-69 ,Male,2050 BAU,376997
 70-74 ,Male,2050 BAU,257682
 75-79 ,Male,2050 BAU,147630
 80+ ,Male,2050 BAU,79052
 0-4,Female,2050 BAU,3092764
 5-9,Female,2050 BAU,2821348
 10-14 ,Female,2050 BAU,2579294
 15-19 ,Female,2050 BAU,2323440
 20-24 ,Female,2050 BAU,2057185
 25-29 ,Female,2050 BAU,1774139
 30-34 ,Female,2050 BAU,1525007
 35-39 ,Female,2050 BAU,1356503
 40-44 ,Female,2050 BAU,1197678
 45-49 ,Female,2050 BAU,986215
 50-54 ,Female,2050 BAU,773593
 55-59 ,Female,2050 BAU,615703
 60-64 ,Female,2050 BAU,493146
 65-69 ,Female,2050 BAU,398590
 70-74 ,Female,2050 BAU,287214
 75-79 ,Female,2050 BAU,173816
 80+ ,Female,2050 BAU,103480
 0-4,Male,2050-EE,3295044
 5-9,Male,2050-EE,3020683
 10-14 ,Male,2050-EE,2759026
 15-19 ,Male,2050-EE,2493573
 20-24 ,Male,2050-EE,2205671
 25-29 ,Male,2050-EE,1899516
 30-34 ,Male,2050-EE,1630123
 35-39 ,Male,2050-EE,1451288
 40-44 ,Male,2050-EE,1275677
 45-49 ,Male,2050-EE,1041976
 50-54 ,Male,2050-EE,805987
 55-59 ,Male,2050-EE,627150
 60-64 ,Male,2050-EE,487180
 65-69 ,Male,2050-EE,376997
 70-74 ,Male,2050-EE,257682
 75-79 ,Male,2050-EE,147630
 80+ ,Male,2050-EE,79052
 0-4,Female,2050-EE,3092764
 5-9,Female,2050-EE,2821348
 10-14 ,Female,2050-EE,2579294
 15-19 ,Female,2050-EE,2323440
 20-24 ,Female,2050-EE,2057185
 25-29 ,Female,2050-EE,1774139
 30-34 ,Female,2050-EE,1525007
 35-39 ,Female,2050-EE,1356503
 40-44 ,Female,2050-EE,1197678
 45-49 ,Female,2050-EE,986215
 50-54 ,Female,2050-EE,773593
 55-59 ,Female,2050-EE,615703
 60-64 ,Female,2050-EE,493146
 65-69 ,Female,2050-EE,398590
 70-74 ,Female,2050-EE,287214
 75-79 ,Female,2050-EE,173816
 80+ ,Female,2050-EE,103480
 0-4,Male,2050CEEFP,1344537
 5-9,Male,2050CEEFP,1592140
 10-14 ,Male,2050CEEFP,1771164
 15-19 ,Male,2050CEEFP,1851072
 20-24 ,Male,2050CEEFP,1826904
 25-29 ,Male,2050CEEFP,1711705
 30-34 ,Male,2050CEEFP,1564919
 35-39 ,Male,2050CEEFP,1463747
 40-44 ,Male,2050CEEFP,1304621
 45-49 ,Male,2050CEEFP,1072615
 50-54 ,Male,2050CEEFP,835128
 55-59 ,Male,2050CEEFP,655503
 60-64 ,Male,2050CEEFP,516252
 65-69 ,Male,2050CEEFP,407578
 70-74 ,Male,2050CEEFP,287456
 75-79 ,Male,2050CEEFP,173160
 80+ ,Male,2050CEEFP,103807
 0-4,Female,2050CEEFP,1272303
 5-9,Female,2050CEEFP,1502706
 10-14 ,Female,2050CEEFP,1665349
 15-19 ,Female,2050CEEFP,1731846
 20-24 ,Female,2050CEEFP,1709369
 25-29 ,Female,2050CEEFP,1605474
 30-34 ,Female,2050CEEFP,1471332
 35-39 ,Female,2050CEEFP,1378013
 40-44 ,Female,2050CEEFP,1230277
 45-49 ,Female,2050CEEFP,1017691
 50-54 ,Female,2050CEEFP,802838
 55-59 ,Female,2050CEEFP,643098
 60-64 ,Female,2050CEEFP,520650
 65-69 ,Female,2050CEEFP,429166
 70-74 ,Female,2050CEEFP,320559
 75-79 ,Female,2050CEEFP,206648
 80+ ,Female,2050CEEFP,142921
